0,85
1,53
2,8
3,18
4,43
5,91
6,40
7,79
8,18
9,38
10,4
11,11
12,74
13,67
14,14
15,31
16,1
17,80
18,41
19,55
20,39
21,78
22,11
23,30
24,97
25,38
26,52
27,94
28,98
29,5
30,8
31,15
32,52
33,73
34,67
35,28
36,23
37,81
38,97
39,97
40,13
41,62
42,11
43,20
44,96
45,28
46,73
47,49
48,67
49,32
50,80
51,12
52,15
53,81
54,29
55,82
56,84
57,90
58,56
59,58
60,37
61,57
62,7
63,95
64,3
65,47
66,25
67,28
68,6
69,79
70,42
71,87
72,95
73,71
74,49
75,85
76,73
77,58
78,26
79,26
80,40
81,10
82,90
83,94
84,53
85,97
86,47
87,22
88,98
89,14
90,90
91,57
92,24
93,94
94,80
95,90
96,70
97,14
98,92
99,74
100,30
101,90
102,65
103,51
104,2
105,23
106,45
107,24
108,57
109,77
110,63
111,34
112,2
113,51
114,99
115,92
116,48
117,54
118,70
119,61
120,23
121,7
122,52
123,91
124,23
125,92
126,49
127,70
128,20
129,70
130,49
131,20
132,58
133,11
134,65
135,73
136,18
137,11
138,41
139,54
140,38
141,30
142,30
143,38
144,70
145,32
146,87
147,81
148,89
149,8
150,100
151,24
152,18
153,53
154,22
155,24
156,20
157,40
158,37
159,82
160,53
161,82
162,4
163,13
164,92
165,67
166,4
167,96
168,18
169,76
170,30
171,50
172,19
173,70
174,68
175,41
176,56
177,28
178,59
179,79
180,96
181,65
182,85
183,64
184,12
185,28
186,32
187,100
188,100
189,84
190,46
191,42
192,66
193,89
194,31
195,31
196,89
197,37
198,22
199,88
200,63
201,35
202,27
203,38
204,63
205,58
206,89
207,24
208,13
209,71
210,10
211,59
212,86
213,25
214,60
215,83
216,56
217,45
218,3
219,34
220,22
221,92
222,77
223,42
224,58
225,46
226,38
227,84
228,41
229,23
230,66
231,31
232,77
233,43
234,30
235,80
236,62
237,10
238,16
239,33
240,39
241,85
242,57
243,67
244,23
245,90
246,26
247,17
248,95
249,66
250,97
251,6
252,48
253,3
254,62
255,30
256,99
257,48
258,18
259,57
260,59
261,18
262,76
263,11
264,71
265,72
266,30
267,4
268,76
269,61
270,51
271,68
272,89
273,24
274,69
275,91
276,4
277,99
278,8
279,28
280,98
281,42
282,42
283,30
284,56
285,4
286,32
287,15
288,28
289,100
290,22
291,22
292,17
293,11
294,85
295,29
296,50
297,23
298,9
299,19
300,94
301,77
302,18
303,16
304,27
305,75
306,54
307,37
308,22
309,25
310,58
311,56
312,5
313,27
314,70
315,38
316,4
317,100
318,91
319,41
320,40
321,69
322,19
323,86
324,4
325,95
326,79
327,5
328,59
329,57
330,87
331,76
332,63
333,78
334,27
335,76
336,90
337,78
338,50
339,52
340,66
341,95
342,38
343,85
344,44
345,22
346,27
347,25
348,94
349,3
350,35
351,86
352,82
353,80
354,88
355,9
356,35
357,9
358,73
359,15
360,27
361,60
362,48
363,18
364,41
365,17
366,14
367,45
368,98
369,2
370,74
371,61
372,9
373,78
374,42
375,61
376,53
377,85
